respondent_id,age,gender,field_of_study,sleep_hours,physical_activity_hrs_per_week,caffeine_intake_mg_per_day,academic_stress_level_1_10,resting_heart_rate_bpm,diet_quality_1_10,pre_exam_anxiety_level_1_10,screen_time_hrs_per_day,social_media_hrs_per_day,screen_time_before_bed_minutes,notifications_per_day,uses_productivity_app,favorite_content_type,study_hours_per_week,procrastination_level_1_10,frequently_procrastinates,class_attendance_percent,late_assignments_per_semester,gpa,family_academic_achievement_history,takes_extra_tutoring,major_life_event_this_semester,digital_academic_wellbeing_level
STU-00043,36,Female,Computer Science,7.3,1.5,119.0,4,65,10,3,3.6,5.9,23,112,No,Gaming,2.3,3,No,92.5,6,2.54,No,Yes,Yes,Medium
STU-00044,45,Male,Computer Science,4.8,0.9,593.0,9,100,4,10,16.0,3.8,0,112,Yes,Education,9.1,9,Yes,88.5,6,2.29,Yes,No,No,Medium
STU-00045,44,Female,Electrical Engineering,5.1,0.4,390.0,6,61,2,3,1.9,2.9,55,112,Yes,Social Media/Trends,4.5,8,No,77.1,6,2.57,No,No,No,Medium
STU-00046,20,Male,Culinary Arts,7.0,3.9,382.0,1,90,3,2,3.6,6.3,36,38,No,Social Media/Trends,2.3,5,No,69.5,1,2.06,No,Yes,No,Low
STU-00047,49,Male,Medicine,5.1,4.5,369.0,10,84,2,5,13.4,7.2,40,38,No,Gaming,9.1,4,Yes,90.7,2,2.58,Yes,Yes,Yes,Low
STU-00048,53,Male,Visual Communication Design,7.5,4.5,250.0,8,63,5,3,2.8,3.8,8,112,Yes,Social Media/Trends,2.3,4,Yes,85.2,6,2.67,No,No,Yes,High
STU-00049,28,Other,Culinary Arts,6.8,2.9,114.0,4,114,7,3,12.5,3.4,36,112,No,Gaming,4.5,9,Yes,88.6,4,1.8,Yes,Yes,No,Low
STU-00050,44,Other,Nursing,7.4,2.5,209.0,4,103,10,3,11.6,1.3,56,38,No,Education,2.3,6,No,67.6,2,2.79,No,No,No,Low
STU-00051,45,male,Medicine,5.8,7.4,597.0,2,105,1,3,16.0,3.8,14,112,Yes,Education,4.5,7,No,,4,2.13,No,No,No,Low
STU-00052,42,Female,Culinary Arts,6.5,0.2,231.0,10,85,3,4,13.4,2.9,40,150,Yes,Education,,7,No,78.8,5,2.1,No,No,No,Low
STU-00053,23,Male,Nursing,6.7,0.9,328.0,6,87,9,4,5.4,0.4,4,150,Yes,News,6.8,7,Yes,77.1,7,1.94,No,No,No,Medium
STU-00054,29,Other,Other Program,4.8,1.4,291.0,7,64,5,4,3.6,5.5,13,150,Yes,Education,0.0,3,No,100.0,1,2.7,No,No,No,High
STU-00055,21,Male,Fine Arts,6.2,5.4,243.0,3,80,4,3,10.7,8.0,60,150,Yes,Gaming,4.5,8,Yes,77.4,3,2.23,Yes,No,No,Low
STU-00056,55,Female,Biology/Science,7.7,5.3,,6,104,3,1,12.5,4.6,43,38,No,Gaming,0.0,7,Yes,87.2,3,1.97,No,No,Yes,Low
STU-00057,43,Other,Nursing,6.7,0.6,278.0,1,113,10,2,13.4,0.4,62,75,Yes,News,2.3,7,Yes,70.6,5,1.94,No,No,No,Medium
STU-00058,23,Female,Medicine,8.1,0.8,453.0,7,60,9,3,15.1,1.3,23,38,Yes,News,4.5,5,No,,3,2.75,No,No,Yes,High
STU-00060,58,Female,Culinary Arts,7.7,7.0,256.0,6,78,4,4,10.7,3.4,19,150,No,Gaming,0.0,4,Yes,75.0,5,2.18,Yes,No,No,Medium
STU-00062,56,Male,Information Systems,7.1,5.4,292.0,8,60,10,3,10.7,7.2,22,75,No,Entertainment,6.8,9,Yes,55.4,3,2.12,Yes,Yes,No,Low
STU-00063,40,Male,Fine Arts,6.0,3.9,181.0,5,107,8,5,7.2,0.0,52,0,No,News,6.8,6,No,65.6,8,2.71,No,No,No,Low
STU-00064,36,Other,Information Systems,4.3,1.4,190.0,3,117,1,1,8.9,0.8,43,112,No,Entertainment,4.5,7,Yes,68.3,7,2.2,Yes,Yes,Yes,Low
STU-00065,41,Male,Nursing,5.9,2.9,153.0,4,79,1,5,13.4,7.6,51,38,Yes,Gaming,0.0,9,Yes,80.4,3,1.71,No,No,Yes,Low
STU-00066,32,Female,Culinary Arts,6.3,3.1,123.0,1,81,4,3,8.1,7.6,53,150,Yes,Social Media/Trends,6.8,1,No,83.8,2,2.75,Yes,Yes,Yes,Medium
STU-00067,19 yrs,Other,Law,9.1,2.4,462.0,5,71,2,4,8.1,0.0,8,38,No,Entertainment,11.4,9,Yes,85.0,3,2.68,Yes,Yes,Yes,Medium
STU-00068,50,Male,Nursing,7.0,1.9,276.0,5,89,4,4,12.5,6.7,40,112,No,News,13.6,7,Yes,80.6,3,2.39,Yes,Yes,No,Low
STU-00069,63,Female,Visual Communication Design,7.4,3.1,143.0,1,83,10,2,13.4,6.3,11,38,Yes,Gaming,0.0,6,No,93.4,2,1.89,Yes,Yes,No,Medium
STU-00070,25,Female,Law,5.6,5.8,485.0,5,78,6,4,8.1,0.4,31,75,Yes,Entertainment,4.5,9,Yes,86.2,5,2.25,Yes,Yes,Yes,Medium
STU-00071,61,Male,Sports Science,5.6,5.2,268.0,1,89,7,4,12.5,2.1,27,112,No,Entertainment,9.1,7,Yes,91.3,4,2.19,Yes,Yes,No,Low
STU-00073,60,Other,Culinary Arts,7.4,2.7,102.0,10,73,10,5,14.2,7.6,30,112,No,Entertainment,2.3,3,No,98.7,3,2.54,No,No,No,Low
STU-00074,58,Other,Electrical Engineering,5.4,2.7,512.0,4,101,10,5,8.1,0.0,13,75,No,Education,2.3,5,Yes,66.8,4,2.07,Yes,Yes,No,Low
STU-00075,39,Male,Biology/Science,7.6,3.8,445.0,5,83,8,2,5.4,5.5,51,0,No,Social Media/Trends,2.3,5,Yes,84.3,1,2.53,No,No,No,Low
STU-00076,50,Female,Other Program,5.7,3.9,186.0,8,112,10,4,9.8,3.8,11,75,Yes,Entertainment,9.1,9,Yes,89.5,5,2.45,Yes,No,No,Medium
STU-00077,61,Female,Nursing,6.4,3.4,347.0,8,70,9,5,1.0,5.1,114,38,No,Education,0.0,5,No,74.7,3,2.22,No,Yes,No,Low
STU-00079,55,Female,Fine Arts,4.8,3.2,219.0,7,92,7,3,8.9,0.4,52,38,No,Gaming,,1,No,100.0,3,2.73,No,No,No,Medium
STU-00080,30,Female,Information Systems,3.5,1.1,414.0,10,112,2,9,14.2,2.9,0,75,No,Gaming,18.2,9,Yes,,2,2.85,No,No,Yes,Low
STU-00082,28,Other,Information Systems,6.8,6.3,376.0,9,94,3,6,13.4,4.6,20,75,Yes,Gaming,6.8,9,Yes,82.9,2,2.0,No,No,No,Medium
STU-00084,30,Other,Education,9.1,5.4,146.0,3,106,4,1,10.7,2.1,12,0,Yes,Social Media/Trends,0.0,7,Yes,90.1,3,2.11,No,No,No,High
STU-00085,58,Male,Fine Arts,7.1,3.5,293.0,1,117,10,2,10.7,0.8,6,75,No,Entertainment,6.8,1,No,89.0,2,2.71,Yes,Yes,Yes,Medium
STU-00086,37,Female,Other Program,6.5,3.0,200.0,10,108,8,6,8.1,3.8,14,150,Yes,Education,4.5,6,Yes,100.0,2,2.52,Yes,No,Yes,Medium
STU-00087,24,Male,Electrical Engineering,7.0,2.8,463.0,9,71,9,5,14.2,,23,75,Yes,Social Media/Trends,6.8,2,No,73.2,2,2.54,Yes,No,No,Medium
STU-00088,54,Other,Culinary Arts,7.1,3.3,315.0,7,81,10,5,8.1,6.7,49,0,Yes,Education,2.3,4,Yes,80.6,1,2.05,No,Yes,No,Medium
STU-00089,29,Female,Electrical Engineering,6.2,4.7,508.0,7,99,9,7,12.5,8.0,14,75,Yes,Gaming,4.5,3,No,81.2,9,2.7,No,No,Yes,High
STU-00091,36,Female,Fine Arts,6.3,2.4,120.0,4,97,3,2,9.8,1.3,17,75,Yes,Social Media/Trends,0.0,4,No,78.6,4,2.24,No,Yes,Yes,Medium
STU-00092,51,Other,Electrical Engineering,8.6,3.7,261.0,1,66,5,2,3.6,3.8,0,112,Yes,Gaming,11.4,2,No,84.7,4,2.78,Yes,No,No,High
STU-00093,24,Male,Information Systems,7.9,6.6,152.0,3,92,6,3,4.5,2.9,20,150,No,Education,11.4,8,Yes,70.5,2,2.65,Yes,Yes,No,High
STU-00094,39,Male,Information Systems,4.1,1.7,448.0,10,96,4,8,13.4,5.9,33,112,Yes,Social Media/Trends,13.6,1,No,85.2,5,2.76,No,Yes,Yes,Low
STU-00096,36,Female,Nursing,5.2,1.9,175.0,7,80,10,5,48.0,7.2,14,0,Yes,Entertainment,4.5,2,No,97.1,4,2.92,No,Yes,No,High
STU-00097,24,Female,Fine Arts,8.0,2.7,186.0,2,105,5,2,14.2,3.4,68,112,Yes,Gaming,0.0,3,No,83.7,3,1.89,No,Yes,No,High
STU-00098,56,Male,Visual Communication Design,5.2,5.4,236.0,8,100,1,6,3.6,6.3,0,75,Yes,Entertainment,9.1,8,Yes,,2,2.48,Yes,No,Yes,Low
STU-00099,27,Other,Culinary Arts,7.2,5.2,252.0,4,99,5,3,8.9,4.6,26,150,Yes,News,6.8,9,Yes,94.4,2,2.16,Yes,Yes,No,Medium
STU-00100,56,male,Visual Communication Design,5.6,3.6,267.0,10,75,10,5,1.0,7.6,56,112,No,Gaming,2.3,7,Yes,77.9,6,2.4,No,Yes,No,Low
STU-00101,20,Other,Culinary Arts,9.3,3.2,360.0,10,87,5,4,5.4,3.4,19,150,Yes,News,4.5,8,Yes,75.4,6,2.29,Yes,No,No,High
STU-00102,57,Female,Medicine,8.4,5.3,326.0,6,98,4,3,11.6,,13,75,Yes,Gaming,2.3,4,No,92.5,0,2.2,No,Yes,Yes,High
STU-00103,42,FEMALE,Law,7.5,4.4,304.0,3,113,6,3,4.5,0.0,53,38,Yes,Entertainment,2.3,10,Yes,88.7,3,2.08,No,No,Yes,Low
STU-00104,64,Male,Computer Science,6.6,3.5,231.0,5,88,8,2,6.3,5.9,53,112,Yes,Gaming,2.3,2,No,75.9,3,2.37,Yes,No,Yes,Low
STU-00105,19,female,Law,7.0,2.4,500.0,2,73,8,1,13.4,5.5,20,75,Yes,Gaming,0.0,10,Yes,55.8,6,1.79,No,No,Yes,Low
STU-00107,51,Female,Education,5.8,3.4,69.0,10,101,7,4,1.9,1.3,90,38,Yes,Education,4.5,5,Yes,95.4,5,2.04,Yes,No,No,Low
STU-00108,18,male,Other Program,7.2,4.4,187.0,8,82,8,4,12.5,2.9,0,38,No,Gaming,0.0,6,Yes,75.8,3,2.02,No,No,No,Medium
STU-00110,29,Other,Computer Science,8.4,3.5,330.0,10,114,4,4,15.1,1.3,57,112,No,Social Media/Trends,2.3,5,No,73.9,3,2.21,No,Yes,Yes,Low
STU-00111,51,Female,Fine Arts,6.3,2.0,89.0,4,95,6,3,5.4,2.5,34,112,Yes,News,11.4,8,Yes,99.0,3,2.53,Yes,Yes,No,Medium
STU-00112,44,Male,Information Systems,6.7,3.0,169.0,9,115,7,4,3.6,0.8,0,38,Yes,Social Media/Trends,0.0,4,Yes,82.1,3,2.49,No,No,Yes,High
STU-00113,60,Female,Biology/Science,4.6,3.0,522.0,2,61,4,2,4.5,2.9,1,0,No,Entertainment,2.3,4,No,82.6,1,2.89,No,Yes,Yes,Low
STU-00114,39,Other,Medicine,9.0,4.3,296.0,8,94,7,4,7.2,5.9,27,75,Yes,Social Media/Trends,6.8,4,No,95.9,5,3.02,Yes,No,Yes,High
STU-00115,35,Male,Education,8.1,0.1,215.0,5,61,1,4,13.4,8.0,29,150,Yes,Gaming,4.5,5,No,95.1,2,2.24,Yes,Yes,No,Medium
STU-00116,40,Other,Computer Science,6.7,0.6,152.0,2,84,6,1,12.5,1.3,12,38,No,Social Media/Trends,0.0,2,No,98.5,7,2.18,No,No,Yes,High
STU-00117,38,Male,Sports Science,7.7,2.5,114.0,4,88,7,2,7.2,0.4,0,0,No,Entertainment,2.3,8,Yes,89.2,6,2.27,No,Yes,No,High
STU-00118,36,Other,Computer Science,7.6,2.2,176.0,8,74,1,4,1.9,5.5,59,112,Yes,Education,2.3,1,No,81.6,5,2.78,Yes,No,No,Medium
STU-00119,31,male,Nursing,7.7,3.0,328.0,10,79,2,5,3.6,6.3,48,112,No,Gaming,2.3,6,Yes,73.8,3,2.18,No,Yes,Yes,Low
STU-00120,30,Female,Other Program,5.9,4.5,,2,90,9,2,8.9,6.3,54,0,Yes,Social Media/Trends,2.3,2,No,80.8,4,2.46,No,Yes,Yes,Medium
STU-00121,54,male,Culinary Arts,5.5,3.6,330.0,3,119,3,2,8.1,6.3,39,75,Yes,Entertainment,,6,No,68.5,3,2.53,Yes,No,Yes,High
STU-00122,52 yrs,Other,Other Program,8.9,2.3,183.0,9,95,5,4,1.0,7.2,26,38,Yes,News,6.8,6,Yes,95.7,4,2.74,Yes,Yes,No,High
STU-00123,49,Other,Sports Science,5.9,0.4,52.0,5,96,9,4,15.1,0.8,61,38,No,Education,2.3,3,No,85.1,4,2.44,No,No,Yes,Medium
STU-00125,32,Male,Information Systems,8.2,3.5,192.0,1,96,4,1,7.2,2.9,104,75,Yes,Social Media/Trends,4.5,3,Yes,96.9,0,2.92,No,No,Yes,High
STU-00126,28,Other,Information Systems,8.0,4.9,365.0,9,119,7,5,1.9,3.4,56,38,No,Entertainment,6.8,3,No,74.3,3,2.51,Yes,Yes,Yes,Low
STU-00128,54,Male,Education,6.1,3.0,158.0,2,102,6,4,3.6,1.3,48,112,Yes,Education,4.5,1,Yes,100.0,5,3.06,Yes,Yes,Yes,High
STU-00129,23,Other,Medicine,8.5,2.5,466.0,1,97,3,4,2.8,4.6,61,150,No,Gaming,9.1,3,No,82.4,3,2.66,Yes,No,Yes,Medium
STU-00130,47,Other,Biology/Science,6.7,2.3,568.0,8,107,3,5,5.4,0.0,56,75,Yes,Gaming,6.8,9,Yes,78.8,5,2.15,No,Yes,Yes,Medium
STU-00131,38,Female,Other Program,4.4,1.0,376.0,8,116,2,8,16.0,2.5,77,75,No,Gaming,18.2,4,No,71.4,7,2.39,Yes,Yes,Yes,Low
STU-00132,52,Other,Law,5.6,2.5,262.0,9,113,7,7,6.3,2.9,0,0,Yes,Entertainment,2.3,2,No,81.4,0,2.61,Yes,No,No,High
STU-00133,50,Male,Nursing,5.5,0.5,160.0,5,92,3,4,1.0,6.7,39,150,No,News,2.3,8,Yes,70.8,5,2.44,No,Yes,No,Low
STU-00134,62,Other,Nursing,7.0,1.1,357.0,6,63,7,3,9.8,0.8,0,112,No,Entertainment,0.0,6,No,79.7,6,2.16,No,Yes,Yes,Low
STU-00135,21,Male,Information Systems,5.2,0.2,556.0,10,101,1,9,16.0,2.1,71,75,No,Entertainment,20.5,5,Yes,86.5,1,2.51,Yes,No,No,Low
STU-00136,51,Female,Electrical Engineering,7.1,0.7,549.0,2,87,10,1,15.1,7.2,74,112,No,Gaming,0.0,3,No,79.9,5,2.0,No,No,No,Low
STU-00137,25,Female,Computer Science,6.4,4.3,353.0,3,79,6,2,16.0,3.4,41,112,No,News,2.3,10,Yes,71.5,3,1.83,No,No,Yes,Low
STU-00139,49,Female,Law,6.5,0.7,271.0,8,109,1,4,10.7,7.2,21,75,Yes,Social Media/Trends,2.3,5,Yes,89.7,6,2.03,No,Yes,Yes,High
STU-00140,58,Female,Fine Arts,5.3,2.5,228.0,2,90,10,4,7.2,2.9,24,38,No,Social Media/Trends,0.0,4,No,73.1,4,2.32,No,No,No,Medium
STU-00141,20 yrs,Female,Nursing,4.4,1.7,304.0,10,96,4,9,10.7,3.8,16,75,No,News,15.9,4,Yes,80.9,2,2.52,Yes,Yes,Yes,Low
STU-00142,44,Male,Other Program,6.0,3.5,,1,60,1,2,13.4,6.7,45,150,Yes,Education,4.5,9,Yes,68.4,3,1.76,No,Yes,No,Low
STU-00143,35,FEMALE,Electrical Engineering,8.1,4.6,330.0,3,68,8,2,8.9,4.2,47,112,No,Education,0.0,9,No,79.8,4,1.79,No,No,No,Low
STU-00144,59,Other,Medicine,6.8,3.8,328.0,2,93,5,2,1.9,7.6,62,112,Yes,Education,4.5,2,No,78.6,2,2.56,No,No,Yes,High
STU-00145,59,Male,Biology/Science,5.1,0.8,290.0,3,82,6,2,10.7,1.7,57,38,No,Social Media/Trends,0.0,9,Yes,62.3,3,2.3,No,Yes,No,Low
STU-00147,59,Other,Information Systems,5.3,2.0,396.0,7,117,1,7,1.9,5.1,0,112,No,Social Media/Trends,6.8,6,Yes,80.3,6,2.24,Yes,No,No,Low
STU-00148,26,Female,Education,8.0,3.8,193.0,1,90,7,2,12.5,3.8,41,38,,News,18.2,10,No,67.5,6,2.53,Yes,Yes,Yes,Low
STU-00149,27,Female,Education,6.7,5.4,34.0,7,108,5,5,1.0,4.6,13,38,No,Social Media/Trends,6.8,8,Yes,76.7,2,2.12,Yes,No,No,Low
STU-00150,53,Male,Sports Science,6.3,2.2,73.0,6,114,6,3,1.0,6.7,55,150,Yes,Gaming,18.2,1,No,91.0,5,2.95,Yes,No,No,High
STU-00151,31,Male,Sports Science,7.1,1.2,245.0,1,107,5,1,4.5,7.2,18,0,No,Education,2.3,3,No,,5,2.36,No,Yes,No,Medium
STU-00152,39,Other,Education,7.7,3.4,232.0,7,96,2,3,11.6,2.1,52,112,Yes,Entertainment,6.8,4,No,58.0,5,2.21,Yes,Yes,No,High
STU-00153,19,Male,Other Program,7.7,2.8,282.0,8,102,4,4,11.6,5.5,93,112,No,News,9.1,5,Yes,85.3,5,2.33,Yes,No,Yes,Low
STU-00154,53,Female,Computer Science,7.0,1.8,293.0,1,91,10,1,16.0,,0,38,Yes,News,11.4,6,Yes,82.5,5,2.64,Yes,Yes,Yes,High
STU-00155,36,MALE,Fine Arts,7.7,6.4,197.0,8,95,7,3,10.8,1.3,23,112,Yes,Entertainment,2.3,3,Yes,88.0,4,2.71,Yes,No,Yes,High
STU-00156,25,Other,Law,7.3,4.1,388.0,2,71,6,4,14.2,5.5,0,112,No,News,2.3,4,Yes,99.8,5,1.98,No,Yes,No,Medium
STU-00159,33,Female,Nursing,5.8,2.8,371.0,9,80,2,4,16.0,5.5,50,112,No,News,0.0,3,No,67.6,4,2.21,No,Yes,No,Low
STU-00160,54,Other,Medicine,4.8,0.6,582.0,8,90,4,5,6.3,1.7,5,112,No,Social Media/Trends,6.8,1,No,81.8,7,2.64,No,Yes,Yes,Low
STU-00162,60,Male,Visual Communication Design,4.9,1.5,204.0,7,81,2,5,8.1,0.0,68,0,Yes,Social Media/Trends,9.1,1,No,68.4,4,2.51,No,Yes,No,Medium
STU-00163,37,Male,Nursing,6.4,3.4,302.0,5,104,9,2,12.5,2.1,28,75,No,Education,0.0,4,No,83.9,1,1.94,No,Yes,No,Low
STU-00164,23,Male,Information Systems,8.3,2.2,372.0,6,82,10,4,16.0,2.9,61,75,Yes,Social Media/Trends,13.6,2,No,89.3,3,2.73,Yes,No,Yes,Medium
STU-00165,26,Male,Law,6.2,4.0,354.0,1,115,1,2,5.4,0.8,0,150,No,Gaming,2.3,5,No,83.7,1,2.49,No,Yes,Yes,High
STU-00167,44,Male,Fine Arts,5.6,7.3,61.0,6,92,1,4,1.9,3.8,56,112,No,Gaming,2.3,6,Yes,100.0,4,2.38,Yes,Yes,No,Low
STU-00168,52,Male,Medicine,6.8,2.6,389.0,4,96,3,2,2.8,0.8,51,150,Yes,Gaming,0.0,9,Yes,69.6,4,2.59,No,Yes,No,Medium
STU-00169,23,Male,Electrical Engineering,6.9,3.4,375.0,1,80,4,2,16.0,1.3,51,38,Yes,News,2.3,1,No,,2,2.56,Yes,No,No,High
STU-00170,50,Female,Sports Science,4.4,4.1,293.0,5,110,10,3,8.9,0.8,29,38,No,Education,13.6,10,Yes,68.7,6,2.44,Yes,Yes,Yes,Low
STU-00171,62,Male,Computer Science,6.5,6.4,311.0,4,111,7,2,16.0,2.9,51,150,Yes,Gaming,2.3,1,No,93.1,1,2.4,Yes,No,No,Medium
STU-00174,18,Other,Electrical Engineering,7.2,2.2,277.0,10,116,6,5,13.4,2.9,47,112,Yes,,4.5,6,Yes,86.5,2,2.3,Yes,No,Yes,Low
STU-00175,38,Male,Culinary Arts,6.7,3.3,387.0,3,76,8,3,9.8,0.8,0,75,No,News,0.0,9,Yes,76.9,3,2.63,No,Yes,No,Low
STU-00176,59,MALE,Law,6.4,2.6,470.0,9,112,3,6,2.8,4.2,59,75,No,Education,0.0,6,No,82.4,3,2.55,No,Yes,No,Low
STU-00177,49,Male,Other Program,6.7,4.3,212.0,9,85,10,5,6.3,1.7,33,0,No,Entertainment,6.8,7,Yes,78.6,2,2.65,Yes,No,No,Low
STU-00178,42,Other,Electrical Engineering,4.8,3.6,405.0,10,110,10,5,10.8,0.4,24,75,Yes,Entertainment,2.3,10,Yes,67.7,9,2.37,No,No,Yes,Low
STU-00179,18,Female,Education,8.6,6.2,264.0,10,115,3,5,18.9,3.4,55,75,Yes,Entertainment,9.1,5,No,73.8,4,2.56,Yes,Yes,No,High
STU-00180,36,Other,Fine Arts,6.8,2.0,235.0,3,112,8,2,1.0,7.6,47,0,No,Education,2.3,5,No,66.5,3,2.45,Yes,No,No,Low
STU-00181,62,Female,Law,6.5,3.7,305.0,3,114,3,5,10.7,0.8,0,0,,Social Media/Trends,4.5,10,Yes,78.7,4,1.94,No,No,Yes,Low
STU-00182,27,Other,Medicine,8.5,4.4,495.0,3,98,7,2,2.8,8.0,60,112,No,News,6.8,3,Yes,89.6,8,2.77,No,No,Yes,Medium
STU-00183,45,Male,Sports Science,4.5,0.5,82.0,6,112,6,4,3.6,8.0,53,0,Yes,Gaming,0.0,3,No,70.1,1,2.18,No,Yes,No,Low
STU-00184,29,Male,Medicine,8.2,3.1,553.0,2,106,10,1,7.2,2.1,77,112,No,Entertainment,2.3,8,Yes,69.2,5,1.99,No,No,Yes,Low
STU-00185,34,Male,Nursing,4.4,0.6,402.0,10,90,2,9,12.5,7.2,0,75,No,News,15.9,4,Yes,72.3,0,2.56,No,Yes,Yes,Low
STU-00186,24,Male,Computer Science,8.1,3.1,373.0,7,76,3,4,16.0,2.9,27,38,No,Entertainment,4.5,10,No,77.4,6,1.69,Yes,No,No,Low
STU-00187,22,Male,Information Systems,7.0,3.0,,5,93,3,4,10.7,1.3,44,38,No,Entertainment,2.3,4,No,87.3,5,2.57,No,No,No,Low
STU-00189,30,Other,Information Systems,8.3,2.3,144.0,5,62,6,4,11.6,1.7,26,75,Yes,Entertainment,4.5,8,Yes,66.8,0,2.23,Yes,Yes,Yes,Medium
STU-00192,63,Female,Law,6.7,0.4,260.0,1,81,4,1,12.5,0.0,24,75,Yes,Education,2.3,6,No,80.4,4,2.08,Yes,Yes,No,High
STU-00193,39,Other,Culinary Arts,5.6,2.8,121.0,6,112,3,5,6.3,5.5,15,75,Yes,Education,,5,Yes,70.9,6,2.24,Yes,Yes,No,High
